day_idx,headline_count,mean_score,positive_pct,negative_pct,neutral_pct
0,11,0.15291335736256906,54.54545454545454,18.181818181818183,27.27272727272727
1,11,0.2118047539630262,45.45454545454545,9.090909090909092,45.45454545454545
2,11,0.2448559514255118,54.54545454545454,0.0,45.45454545454545
3,11,-4.389428901511626e-05,45.45454545454545,36.36363636363637,18.181818181818183
4,11,0.05308509157358557,36.36363636363637,18.181818181818183,45.45454545454545
5,11,0.18843093460558247,45.45454545454545,18.181818181818183,36.36363636363637
6,11,-0.16897114744627328,9.090909090909092,54.54545454545454,36.36363636363637
7,11,0.036611843049708846,27.27272727272727,36.36363636363637,36.36363636363637
8,11,0.11143048595787675,27.27272727272727,18.181818181818183,54.54545454545454
9,11,0.046790173292748684,27.27272727272727,18.181818181818183,54.54545454545454
10,11,0.030208002154477144,18.181818181818183,18.181818181818183,63.63636363636363
11,11,0.23097409628065863,45.45454545454545,27.27272727272727,27.27272727272727
12,11,0.10378426796210487,36.36363636363637,9.090909090909092,54.54545454545454
13,11,0.1288656565874913,45.45454545454545,27.27272727272727,27.27272727272727
14,11,0.11598186030929361,45.45454545454545,18.181818181818183,36.36363636363637
15,11,-0.006329478959164772,36.36363636363637,18.181818181818183,45.45454545454545
16,11,0.2817431187684367,36.36363636363637,18.181818181818183,45.45454545454545
17,11,-0.09443927388725193,18.181818181818183,45.45454545454545,36.36363636363637
18,11,0.04646840458253732,27.27272727272727,27.27272727272727,45.45454545454545
19,11,-0.03354104564959203,9.090909090909092,27.27272727272727,63.63636363636363
20,11,0.2005478408654862,45.45454545454545,18.181818181818183,36.36363636363637
21,11,0.03562308906830684,36.36363636363637,27.27272727272727,36.36363636363637
22,11,-0.07165587144810247,27.27272727272727,36.36363636363637,36.36363636363637
23,11,0.04482937914763726,27.27272727272727,18.181818181818183,54.54545454545454
24,11,-0.01935599346836614,36.36363636363637,36.36363636363637,27.27272727272727
25,11,0.1246463187618778,45.45454545454545,27.27272727272727,27.27272727272727
26,11,0.05934446549251476,27.27272727272727,27.27272727272727,45.45454545454545
27,11,0.2303124402601302,54.54545454545454,9.090909090909092,36.36363636363637
28,11,0.04576772173526229,27.27272727272727,18.181818181818183,54.54545454545454
29,11,0.2140967650271591,36.36363636363637,18.181818181818183,45.45454545454545
30,11,0.020896809764542487,9.090909090909092,18.181818181818183,72.72727272727273
31,11,-0.09336777398499482,9.090909090909092,45.45454545454545,45.45454545454545
32,11,-0.04648741882866245,0.0,27.27272727272727,72.72727272727273
33,11,0.21449143781861002,27.27272727272727,9.090909090909092,63.63636363636363
34,11,0.006748257626555247,18.181818181818183,36.36363636363637,45.45454545454545
35,11,0.21633365648582495,54.54545454545454,9.090909090909092,36.36363636363637
36,11,-0.001107847614285668,9.090909090909092,45.45454545454545,45.45454545454545
37,11,0.06300642198954187,9.090909090909092,9.090909090909092,81.81818181818183
38,11,0.006779519789807223,9.090909090909092,27.27272727272727,63.63636363636363
39,11,0.13135766646089822,45.45454545454545,18.181818181818183,36.36363636363637
40,11,0.06723305137649388,36.36363636363637,18.181818181818183,45.45454545454545
41,11,0.1293428614198151,27.27272727272727,18.181818181818183,54.54545454545454
42,11,0.12750092739408364,54.54545454545454,27.27272727272727,18.181818181818183
43,11,-0.14986419418253535,18.181818181818183,54.54545454545454,27.27272727272727
44,11,-0.05016567489910842,18.181818181818183,36.36363636363637,45.45454545454545
45,11,-0.07455958625340706,18.181818181818183,36.36363636363637,45.45454545454545
46,11,0.023379378161005267,36.36363636363637,27.27272727272727,36.36363636363637
